station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2022,PM PEAK,10960,98,93
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2022,AM PEAK,9639,98,87
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2022,OFF PEAK,17280,98,99
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2022,WEEKENDS,33246,-1,-1
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2022,WEEKDAYS,37879,-1,-1
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2022,ALL DAYS,36594,99,95
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2022,WEEKENDS,18972,-1,-1
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,PM PEAK,11200,-1,-1
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2022,AM PEAK,5065,30,67
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,AM PEAK,8347,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2022,PM PEAK,4634,30,85
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2022,WEEKDAYS,21569,-1,-1
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2022,PM PEAK,6566,30,31
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2022,WEEKDAYS,15439,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2022,WEEKENDS,12377,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2022,OFF PEAK,7523,30,83
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2022,ALL DAYS,14515,31,80
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,ALL DAYS,36418,-1,-1
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,WEEKDAYS,37008,-1,-1
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,OFF PEAK,17461,-1,-1
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,WEEKENDS,31349,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2022,AM PEAK,3282,30,77
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2022,ALL DAYS,21903,31,38
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2022,OFF PEAK,9938,30,34
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2022,WEEKDAYS,11654,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,WEEKDAYS,24419,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,WEEKENDS,22579,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,PM PEAK,6423,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2022,PM PEAK,2978,59,98
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2022,ALL DAYS,12390,59,98
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,AM PEAK,5412,-1,-1
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2022,AM PEAK,1811,59,92
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2022,OFF PEAK,6398,59,100
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2022,OFF PEAK,6186,59,100
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2022,PM PEAK,3445,59,97
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2022,AM PEAK,3601,59,91
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2022,WEEKENDS,11063,-1,-1
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2022,ALL DAYS,11477,59,98
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2022,WEEKENDS,11516,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,OFF PEAK,12584,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,ALL DAYS,23867,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2022,WEEKDAYS,12765,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,WEEKDAYS,19068,-1,-1
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2022,ALL DAYS,8599,14,98
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2022,ALL DAYS,9622,14,94
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2022,WEEKDAYS,10097,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,OFF PEAK,9322,-1,-1
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2022,WEEKENDS,7766,-1,-1
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2022,WEEKENDS,8202,-1,-1
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2022,PM PEAK,2864,13,86
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,PM PEAK,5263,-1,-1
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2022,OFF PEAK,4406,13,100
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2022,AM PEAK,2166,13,88
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2022,OFF PEAK,4916,13,100
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,ALL DAYS,18221,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,WEEKENDS,15968,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2022,AM PEAK,4483,-1,-1
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2022,AM PEAK,2317,13,86
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2022,WEEKDAYS,8971,-1,-1
