station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
55318,2015,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,PM PEAK,9171,-1,-1
55318,2015,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,ALL DAYS,34935,-1,-1
55318,2015,PRESCRIBED,SOUTH,UNCLASSIFIED,2024,AM PEAK,2998,39,97
55318,2015,COUNTER,NORTH,UNCLASSIFIED,2024,AM PEAK,5641,55,91
55318,2015,COUNTER,NORTH,UNCLASSIFIED,2024,OFF PEAK,9784,55,99
55318,2015,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,AM PEAK,8639,-1,-1
55318,2015,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,WEEKENDS,31859,-1,-1
55318,2015,PRESCRIBED,SOUTH,UNCLASSIFIED,2024,PM PEAK,4602,39,99
55318,2015,COUNTER,NORTH,UNCLASSIFIED,2024,WEEKENDS,17191,-1,-1
55318,2015,PRESCRIBED,SOUTH,UNCLASSIFIED,2024,WEEKENDS,14668,-1,-1
55318,2015,PRESCRIBED,SOUTH,UNCLASSIFIED,2024,OFF PEAK,8554,39,99
55318,2015,COUNTER,NORTH,UNCLASSIFIED,2024,WEEKDAYS,19994,-1,-1
55318,2015,PRESCRIBED,SOUTH,UNCLASSIFIED,2024,ALL DAYS,15738,39,99
55318,2015,PRESCRIBED,SOUTH,UNCLASSIFIED,2024,WEEKDAYS,16154,-1,-1
55318,2015,COUNTER,NORTH,UNCLASSIFIED,2024,ALL DAYS,19197,55,98
55318,2015,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,OFF PEAK,18338,-1,-1
55318,2015,COUNTER,NORTH,UNCLASSIFIED,2024,PM PEAK,4569,55,97
55318,2015,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,WEEKDAYS,36148,-1,-1
55406,2393,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,AM PEAK,2221,-1,-1
55406,2393,COUNTER,SOUTH,UNCLASSIFIED,2024,WEEKENDS,3612,-1,-1
55406,2393,PRESCRIBED,NORTH,UNCLASSIFIED,2024,AM PEAK,1309,50,90
55406,2393,COUNTER,SOUTH,UNCLASSIFIED,2024,OFF PEAK,1892,50,98
55406,2393,PRESCRIBED,NORTH,UNCLASSIFIED,2024,PM PEAK,1238,50,99
55406,2393,PRESCRIBED,NORTH,UNCLASSIFIED,2024,WEEKDAYS,5790,-1,-1
55406,2393,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,ALL DAYS,9573,-1,-1
55406,2393,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,WEEKDAYS,9597,-1,-1
55406,2393,PRESCRIBED,NORTH,UNCLASSIFIED,2024,OFF PEAK,3243,50,100
55406,2393,COUNTER,SOUTH,UNCLASSIFIED,2024,WEEKDAYS,3807,-1,-1
55406,2393,COUNTER,SOUTH,UNCLASSIFIED,2024,ALL DAYS,3749,50,96
55406,2393,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,WEEKENDS,9504,-1,-1
55406,2393,PRESCRIBED,NORTH,UNCLASSIFIED,2024,ALL DAYS,5824,50,97
55406,2393,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,OFF PEAK,5135,-1,-1
55406,2393,PRESCRIBED,NORTH,UNCLASSIFIED,2024,WEEKENDS,5892,-1,-1
55406,2393,COUNTER,SOUTH,UNCLASSIFIED,2024,AM PEAK,912,50,84
55406,2393,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2024,PM PEAK,2241,-1,-1
55406,2393,COUNTER,SOUTH,UNCLASSIFIED,2024,PM PEAK,1003,50,93
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2024,AM PEAK,2418,13,77
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2024,WEEKDAYS,8730,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2024,PM PEAK,2244,14,97
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2024,OFF PEAK,4068,13,93
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2024,WEEKENDS,8822,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2024,ALL DAYS,8929,14,96
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2024,WEEKDAYS,19221,-1,-1
