station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKDAYS,38198,-1,-1
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2023,ALL DAYS,36900,42,95
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2023,AM PEAK,9493,42,88
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2023,PM PEAK,11251,42,92
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2023,OFF PEAK,17454,42,100
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKENDS,33458,-1,-1
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2023,PM PEAK,11367,55,98
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2023,AM PEAK,15104,55,88
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2023,ALL DAYS,47754,55,98
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2023,OFF PEAK,22422,55,99
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2023,WEEKENDS,45196,-1,-1
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2023,WEEKDAYS,48893,-1,-1
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2023,OFF PEAK,9215,0,100
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKENDS,17754,-1,-1
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2023,AM PEAK,3904,0,100
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2023,ALL DAYS,17627,1,87
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2023,PM PEAK,4434,1,100
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKDAYS,17553,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKDAYS,8638,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2023,AM PEAK,2437,56,91
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2023,PM PEAK,2194,56,98
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2023,ALL DAYS,8448,56,98
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2023,OFF PEAK,4007,56,100
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKENDS,8045,-1,-1
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2023,PM PEAK,8056,-1,-1
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2023,WEEKENDS,23889,-1,-1
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2023,PM PEAK,5584,57,92
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKENDS,9110,-1,-1
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2023,OFF PEAK,12039,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2023,AM PEAK,3394,36,81
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2023,ALL DAYS,16246,57,96
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2023,WEEKDAYS,27119,-1,-1
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2023,AM PEAK,7024,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2023,ALL DAYS,10021,36,95
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2023,ALL DAYS,26267,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2023,WEEKDAYS,10313,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2023,PM PEAK,2472,36,96
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2023,OFF PEAK,4447,36,98
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2023,AM PEAK,3630,57,91
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2023,OFF PEAK,7592,57,99
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2023,WEEKDAYS,16806,-1,-1
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2023,WEEKENDS,14779,-1,-1
55432,3022,COUNTER,EAST,UNCLASSIFIED,2023,WEEKENDS,11356,-1,-1
55432,3022,COUNTER,EAST,UNCLASSIFIED,2023,ALL DAYS,11286,36,99
55432,3022,COUNTER,EAST,UNCLASSIFIED,2023,AM PEAK,2736,36,95
55432,3022,COUNTER,EAST,UNCLASSIFIED,2023,OFF PEAK,5670,35,100
55432,3022,COUNTER,EAST,UNCLASSIFIED,2023,PM PEAK,2831,36,97
55432,3022,COUNTER,EAST,UNCLASSIFIED,2023,WEEKDAYS,11237,-1,-1
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2023,OFF PEAK,10769,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2023,WEEKENDS,832,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2023,PM PEAK,5922,55,94
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2023,WEEKDAYS,19165,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2023,OFF PEAK,1276,31,94
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2023,PM PEAK,6384,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2023,WEEKENDS,17310,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2023,ALL DAYS,18647,47,94
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2023,WEEKDAYS,21515,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2023,AM PEAK,3750,54,93
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2023,ALL DAYS,20587,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2023,ALL DAYS,1940,28,95
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2023,PM PEAK,462,34,95
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2023,OFF PEAK,9493,44,94
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2023,WEEKDAYS,2350,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2023,AM PEAK,612,40,94
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2023,AM PEAK,4362,-1,-1
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2023,WEEKENDS,18142,-1,-1
56606,10011,COUNTER,EAST,HEAVY VEHICLES,2023,PM PEAK,377,15,94
56606,10011,COUNTER,EAST,LIGHT VEHICLES,2023,AM PEAK,7088,56,93
56606,10011,COUNTER,EAST,LIGHT VEHICLES,2023,WEEKENDS,26722,-1,-1
56606,10011,COUNTER,EAST,ALL VEHICLES,2023,OFF PEAK,14983,-1,-1
56606,10011,COUNTER,EAST,HEAVY VEHICLES,2023,OFF PEAK,1126,13,93
56606,10011,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2023,WEEKDAYS,64908,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2023,OFF PEAK,30521,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2023,OFF PEAK,2581,-1,-1
56606,10011,COUNTER,EAST,LIGHT VEHICLES,2023,OFF PEAK,13857,46,92
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2023,OFF PEAK,16664,45,92
56606,10011,COUNTER,EAST,LIGHT VEHICLES,2023,WEEKDAYS,29364,-1,-1
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2023,WEEKENDS,32384,-1,-1
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2023,WEEKDAYS,35544,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2023,PM PEAK,1019,-1,-1
56606,10011,PRESCRIBED,WEST,HEAVY VEHICLES,2023,ALL DAYS,2328,13,92
56606,10011,PRESCRIBED,WEST,HEAVY VEHICLES,2023,WEEKENDS,1217,-1,-1
56606,10011,COUNTER,EAST,ALL VEHICLES,2023,AM PEAK,8058,-1,-1
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2023,PM PEAK,9542,56,93
56606,10011,COUNTER,EAST,ALL VEHICLES,2023,WEEKENDS,27778,-1,-1
56606,10011,PRESCRIBED,WEST,ALL VEHICLES,2023,AM PEAK,10028,-1,-1
56606,10011,COUNTER,EAST,ALL VEHICLES,2023,PM PEAK,8796,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2023,OFF PEAK,33102,-1,-1
56606,10011,COUNTER,EAST,HEAVY VEHICLES,2023,AM PEAK,970,28,93
56606,10011,PRESCRIBED,WEST,HEAVY VEHICLES,2023,PM PEAK,642,17,94
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2023,WEEKDAYS,5260,-1,-1
56606,10011,PRESCRIBED,WEST,ALL VEHICLES,2023,OFF PEAK,18119,-1,-1
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2023,AM PEAK,9338,56,92
56606,10011,PRESCRIBED,WEST,ALL VEHICLES,2023,ALL DAYS,36975,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2023,WEEKENDS,2273,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2023,AM PEAK,1660,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2023,PM PEAK,17961,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2023,AM PEAK,18086,-1,-1
56606,10011,PRESCRIBED,WEST,HEAVY VEHICLES,2023,OFF PEAK,1455,13,93
56606,10011,PRESCRIBED,WEST,ALL VEHICLES,2023,PM PEAK,10184,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2023,ALL DAYS,67845,-1,-1
56606,10011,COUNTER,EAST,HEAVY VEHICLES,2023,WEEKENDS,1056,-1,-1
56606,10011,PRESCRIBED,WEST,HEAVY VEHICLES,2023,AM PEAK,690,21,93
56606,10011,PRESCRIBED,WEST,ALL VEHICLES,2023,WEEKDAYS,38331,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2023,ALL DAYS,4415,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2023,WEEKDAYS,70168,-1,-1
56606,10011,COUNTER,EAST,ALL VEHICLES,2023,ALL DAYS,30870,-1,-1
56606,10011,PRESCRIBED,WEST,ALL VEHICLES,2023,WEEKENDS,33601,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2023,WEEKENDS,61379,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2023,AM PEAK,16426,-1,-1
56606,10011,COUNTER,EAST,HEAVY VEHICLES,2023,WEEKDAYS,2473,-1,-1
