station_key,name,full_name,road_functional_hierarchy,lga,wgs84_latitude,wgs84_longitude,vehicle_classifier,device_type
55425,Pyrmont Street,"Pyrmont Street, North of Murray Street",Arterial Road,Sydney,-33.872505,151.196762,0,Trafficorder Loop Counter
55430,Eastern Distributor,"Eastern Distributor, South of Anzac Parade",Arterial Road,Sydney,-33.887547,151.219452,0,Trafficorder Dual Tube Classifier
55432,Cleveland Street,"Cleveland Street, West of Anzac Parade",Arterial Road,Sydney,-33.894791,151.220764,0,Trafficorder Loop Counter
55715,Pacific Motorway,"Pacific Motorway, East of Pacific Highway",Motorway,Gosford,-33.530308,151.200348,0,Trafficorder Loop Counter
55720,The Entrance Road,"The Entrance Road, South of Newcastle Street",Arterial Road,Gosford,-33.437263,151.363052,0,Trafficorder Loop Counter
55747,Brisbane Water Drive,"Brisbane Water Drive, North of The Boulevarde",Arterial Road,Gosford,-33.482365,151.32428,0,Trafficorder Loop Counter
56369,Hume Motorway,"Hume Motorway, South of Menangle Road",Motorway,Campbelltown,-34.115025,150.759109,0,Trafficorder Loop Counter
56371,Princes Motorway,"Princes Motorway, West of Cawleys Road",Motorway,Wollongong,-34.161606,150.981125,0,Trafficorder Loop Counter
56602,Cambridge Street,"Cambridge Street, North of Carre Avenue",Primary Road,Fairfield,-33.878181,150.924942,1,Tirtl
56605,Princes Motorway,"Princes Motorway, South of Princes Highway",Motorway,Wollongong,-34.150352,150.990295,1,Excel Lpl
56606,New South Head Road,"New South Head Road, East of Bayswater Road",Arterial Road,Woollahra,-33.876652,151.230606,1,Tirtl
56613,Oxford Street,"Oxford Street, North of Syd Einfeld Drive",Arterial Road,Randwick,-33.890221,151.239777,0,Trafficorder Dual Tube Classifier
56615,Syd Einfeld Drive,"Syd Einfeld Drive, East of Grosvenor Street",Arterial Road,Waverley,-33.89072,151.250137,0,Trafficorder Dual Tube Classifier
56649,Southern Cross Drive,"Southern Cross Drive, South of Gardeners Road",Motorway,Botany Bay,-33.925007,151.214737,0,Trafficorder Loop Counter
56658,Foreshore Road,"Foreshore Road, South of Fremlins Lane",Arterial Road,Botany Bay,-33.958763,151.203247,0,Trafficorder Loop Counter
56662,Wentworth Avenue,"Wentworth Avenue, East of Southern Cross Drive",Arterial Road,Botany Bay,-33.936672,151.209625,0,Trafficorder Loop Counter
56663,Gardeners Road,"Gardeners Road, East of Southern Cross Drive",Arterial Road,Botany Bay,-33.924473,151.214676,0,Trafficorder Loop Counter
56678,Princes Highway,"Princes Highway, West of Yelverton Street",Primary Road,Marrickville,-33.917812,151.171143,1,Excel Pp
56683,Canal Road,"Canal Road, North of Burrows Road",Arterial Road,Marrickville,-33.919224,151.177978,1,Excel Lpl
56694,Parramatta Road,"Parramatta Road, South of Mathieson Street",Primary Road,Leichhardt,-33.887417,151.173325,0,Trafficorder Loop Counter
56705,Western Distributor,"Western Distributor, West of Bowman Street",Motorway,Leichhardt,-33.869068,151.185349,0,Trafficorder Loop Counter
56706,Parramatta Road,"Parramatta Road, West of Brown Street",Primary Road,Leichhardt,-33.889751,151.145081,0,Trafficorder Dual Tube Classifier
56715,City-West Link Road,"City-West Link Road, West of Boomerang Street",Arterial Road,Ashfield,-33.869892,151.145019,0,Trafficorder Loop Counter
56716,City West Link Road,"City West Link Road, West of The Crescent",Arterial Road,Leichhardt,-33.871185,151.172668,1,Excel Lpl
56729,Military Road,"Military Road, West of Watson Street",Arterial Road,North Sydney,-33.829956,151.218063,0,Trafficorder Loop Counter
56730,Strathallen Avenue,"Strathallen Avenue, North of The Boulevarde",Arterial Road,North Sydney,-33.817001,151.212357,0,Trafficorder Loop Counter
56738,Military Road,"Military Road, West of Melrose Street",Sub-Arterial Road,Mosman,-33.825577,151.233261,1,Excel Lpl
56740,Ourimbah Road,"Ourimbah Road, East of Bond Street",Arterial Road,Mosman,-33.822067,151.238358,0,Trafficorder Loop Counter
56744,Princes Highway,"Princes Highway, East of Brodie Spark Drive",Primary Road,Rockdale,-33.929401,151.156433,0,Trafficorder Dual Tube Classifier
56745,East Freeway,"East Freeway, West of General Holmes Drive",Motorway,Rockdale,-33.946026,151.172195,0,Trafficorder Loop Counter
56748,Princes Highway,"Princes Highway, South of Taylor Avenue",Primary Road,Rockdale,-33.945034,151.141708,0,Trafficorder Dual Tube Classifier
56753,Forest Road,"Forest Road, North of Bayview Street",Arterial Road,Rockdale,-33.947483,151.12796,0,Trafficorder Loop Counter
56758,General Holmes Drive,"General Holmes Drive, South of Rowley Street",Arterial Road,Rockdale,-33.954906463623,151.158676147461,0,Trafficorder Loop Counter
56762,Marsh Street,"Marsh Street, South of Rockwell Avenue",Local Road,Rockdale,-33.934475,151.15831,1,Excel Ll
56776,King Georges Road,"King Georges Road, North of The Boulevarde",Arterial Road,Canterbury,-33.922554,151.068237,0,Trafficorder Dual Tube Classifier
56778,Canterbury Road,"Canterbury Road, West of Sproule Street",Arterial Road,Canterbury,-33.928268,151.077286,0,Trafficorder Loop Counter
56780,Punchbowl Road,"Punchbowl Road, East of Margaret Street",Arterial Road,Strathfield,-33.899914,151.088058,1,Excel Ll
56781,King Georges Road,"King Georges Road, North of Roseland Avenue",Arterial Road,Canterbury,-33.934917,151.0737,0,Trafficorder Dual Tube Classifier
56795,Canterbury Road,"Canterbury Road, West of Charles Street",Arterial Road,Canterbury,-33.913277,151.11734,0,Trafficorder Loop Counter
56800,Bexley Road,"Bexley Road, North of South Western Motorway",Arterial Road,Canterbury,-33.935444,151.111282,0,Trafficorder Loop Counter
56801,Liverpool Road,"Liverpool Road, East of Elizabeth Street",Primary Road,Ashfield,-33.889008,151.133102,0,Trafficorder Loop Counter
56802,Parramatta Road,"Parramatta Road, West of St Davids Road",Primary Road,Ashfield,-33.885006,151.136261,0,Trafficorder Loop Counter
56814,Parramatta Road,"Parramatta Road, West of Telopea Avenue",Primary Road,Strathfield,-33.85709,151.066177,0,Trafficorder Dual Tube Classifier
56819,Western Motorway,"Western Motorway, East of Bedford Road",Motorway,Strathfield,-33.859497,151.076492,0,Trafficorder Loop Counter
56820,Centenary Drive,"Centenary Drive, East of Richmond Road",Arterial Road,Strathfield,-33.86327,151.066605,1,Excel Ll
56821,Centenary Drive,"Centenary Drive, North of Hume Highway",Arterial Road,Strathfield,-33.8840827941895,151.069564819336,0,Trafficorder Loop Counter
56823,Liverpool Road,"Liverpool Road, East of Gould Street",Primary Road,Strathfield,-33.887241,151.073135,0,Trafficorder Dual Tube Classifier
56827,Hume Highway,"Hume Highway, North of Waterloo Road",Primary Road,Bankstown,-33.889046,151.060608,0,Trafficorder Loop Counter
56836,Western Motorway,"Western Motorway, North of Parramatta Road",Motorway,Auburn,-33.856541,151.068039,0,Trafficorder Loop Counter
56837,Western Motorway,"Western Motorway, South of Homebush Bay Drive",Motorway,Strathfield,-33.85783,151.070923,0,Trafficorder Loop Counter
56838,Homebush Bay Drive,"Homebush Bay Drive, East of Oulton Avenue",Arterial Road,Canada Bay,-33.836475,151.085938,0,Trafficorder Loop Counter
56841,Concord Road,"Concord Road, North of Llewellyn Street",Arterial Road,Canada Bay,-33.824696,151.093216,1,Tirtl
56844,Victoria Road,"Victoria Road, South of Burns Bay Road",Arterial Road,Canada Bay,-33.842159,151.147903,0,Trafficorder Loop Counter
56845,Parramatta Road,"Parramatta Road, West of Cheltenham Road",Primary Road,Canada Bay,-33.869789,151.112778,0,Trafficorder Dual Tube Classifier
56846,Victoria Road,"Victoria Road, North of Byrnes Street",Motorway,Leichhardt,-33.860798,151.164291,1,Excel Lpl
56855,Victoria Road,"Victoria Road, East of Mortimer Lewis Drive",Arterial Road,Hunters Hill,-33.839256,151.14035,0,Trafficorder Dual Tube Classifier
56856,Burns Bay Road,"Burns Bay Road, North of Martin Street",Arterial Road,Lane Cove,-33.829678,151.146133,0,Trafficorder Loop Counter
56857,Epping Road,"Epping Road, East of Lane Cove Tunnel",Arterial Road,Lane Cove,-33.812298,151.170197,0,Trafficorder Loop Counter
56860,Epping Road,"Epping Road, West of Elizabeth Parade",Arterial Road,Lane Cove,-33.810368,151.16188,0,Trafficorder Loop Counter
56861,Burns Bay Road,"Burns Bay Road, North of Linley Lane",Arterial Road,Lane Cove,-33.821175,151.149902,1,Excel Lpl
56863,River Road,"River Road, East of Fleming Street",Arterial Road,Lane Cove,-33.825085,151.178818,0,Trafficorder Loop Counter
56865,Mowbray Road,"Mowbray Road, North of Walkers Drive",Arterial Road,Willoughby,-33.80106,151.146164,0,Trafficorder Loop Counter
56868,Pacific Highway,"Pacific Highway, South of Boundary Street",Primary Road,Willoughby,-33.787891,151.179306,0,Trafficorder Dual Tube Classifier
56869,Pacific Highway,"Pacific Highway, South of Mowbray Road",Primary Road,Lane Cove,-33.806141,151.17952,1,Excel Lpl
56872,Eastern Valley Way,"Eastern Valley Way, South of Sunnyside Crescent",Arterial Road,Willoughby,-33.799751,151.210465,1,Excel Lpl
56873,Penshurst Street,"Penshurst Street, South of Warrah Lane",Arterial Road,Willoughby,-33.788738,151.193848,1,Excel Lpl
56881,Willoughby Road,"Willoughby Road, South of Small Street",Arterial Road,Willoughby,-33.811386,151.199509,0,Trafficorder Loop Counter
56885,Spit Road,"Spit Road, South of Manly Road",Arterial Road,Mosman,-33.803474,151.246109,1,Excel Lpl
56888,Condamine Street,"Condamine Street, South of Sloane Crescent",Arterial Road,Warringah,-33.778187,151.267136,1,Excel Ll
56891,Burnt Bridge Creek Deviation,"Burnt Bridge Creek Deviation, East of Brook Road",Arterial Road,Manly,-33.793015,151.253708,1,Excel Lpl
56892,Wakehurst Parkway,"Wakehurst Parkway, South of Judith Street",Arterial Road,Manly,-33.781223,151.237793,1,Excel Lpl
56895,Princes Highway,"Princes Highway, South of Townson Street",Primary Road,Kogarah,-33.997036,151.116333,0,Trafficorder Loop Counter
56896,Taren Point Road,"Taren Point Road, South of Old Taren Point Road",Arterial Road,Sutherland,-34.011719,151.126007,0,Trafficorder Loop Counter
56908,River Road,"River Road, South of Menai Road",Arterial Road,Sutherland,-34.019458770752,151.049346923828,0,Trafficorder Dual Tube Classifier
56912,Princes Highway,"Princes Highway, West of Amaroo Street",Primary Road,Sutherland,-34.022137,151.089767,0,Trafficorder Dual Tube Classifier
56914,Princes Highway,"Princes Highway, East of Loftus Avenue",Primary Road,Sutherland,-34.054104,151.046188,0,Trafficorder Loop Counter
56916,Princes Highway,"Princes Highway, North of Yanagang Street",Primary Road,Sutherland,-34.132504,150.993759,0,Trafficorder Loop Counter
56918,Heathcote Road,"Heathcote Road, West of Beethoven Street",Arterial Road,Sutherland,-34.072643,151.000855,1,Excel Lpl
56925,Princes Highway,"Princes Highway, East of Carwar Lane",Primary Road,Kogarah,-33.981586,151.118088,0,Trafficorder Loop Counter
56927,King Georges Road,"King Georges Road, North of Cooleen Street",Arterial Road,Kogarah,-33.984394,151.109436,1,Excel Lpl
56949,Stoney Creek Road,"Stoney Creek Road, West of Illawarra Parade",Arterial Road,Hurstville,-33.951763,151.088257,0,Trafficorder Loop Counter
56950,Alfords Point Road,"Alfords Point Road, East of Snow Gum Place",Arterial Road,Bankstown,-33.977142,151.030533,1,Excel Ll
56951,South Western Motorway,"South Western Motorway, South of Ely Street",Motorway,Bankstown,-33.940006,151.012375,0,Trafficorder Loop Counter
56959,Henry Lawson Drive,"Henry Lawson Drive, East of Wainwright Avenue",Arterial Road,Bankstown,-33.963131,151.04187,0,Trafficorder Loop Counter
56965,Joseph Street,"Joseph Street, South of Lewis Street",Arterial Road,Auburn,-33.8876495361328,151.039489746094,0,Trafficorder Dual Tube Classifier
56973,Fairford Road,"Fairford Road, South of Aster Avenue",Arterial Road,Bankstown,-33.926025,151.038132,0,Trafficorder Dual Tube Classifier
56974,Fairford Road,"Fairford Road, North of South Western Motorway",Arterial Road,Bankstown,-33.939327,151.035797,0,Trafficorder Dual Tube Classifier
56975,Hume Highway,"Hume Highway, East of Stacey Street",Primary Road,Bankstown,-33.9051513671875,151.041351318359,0,Trafficorder Loop Counter
56976,Canterbury Road,"Canterbury Road, West of Stacey Street",Arterial Road,Bankstown,-33.933296,151.039734,0,Trafficorder Loop Counter
56980,Davies Road,"Davies Road, North of Alma Road",Arterial Road,Bankstown,-33.961929,151.037201,0,Trafficorder Loop Counter
56981,Newbridge Road,"Newbridge Road, West of Henry Lawson Drive",Arterial Road,Bankstown,-33.9292488098145,150.979049682617,0,Trafficorder Loop Counter
