station_key,name,full_name,road_functional_hierarchy,lga,wgs84_latitude,wgs84_longitude,vehicle_classifier,device_type
57136,Warringah Road,"Warringah Road, East of Daines Parade",Local Road,Warringah,-33.753216,151.257523,0,Trafficorder Dual Tube Classifier
57138,Warringah Road,"Warringah Road, West of Melwood Avenue",Arterial Road,Warringah,-33.759975,151.211227,0,Trafficorder Loop Counter
57140,Pittwater Road,"Pittwater Road, North of Jenkins Street",Arterial Road,Warringah,-33.729507,151.30011,1,Tirtl
57141,Warringah Road,"Warringah Road, East of Daines Parade",Local Road,Warringah,-33.753262,151.257889,1,Excel Lpl
57143,Wakehurst Parkway,"Wakehurst Parkway, North of Dreadnought Road",Arterial Road,Warringah,-33.737915,151.244888,1,Excel Lpl
57155,Mona Vale Road,"Mona Vale Road, West of Forest Way",Arterial Road,Warringah,-33.701229,151.211594,0,Trafficorder Loop Counter
57159,Mona Vale Road,"Mona Vale Road, East of Addison Road",Arterial Road,Warringah,-33.686592,151.256943,1,Tirtl
57160,Forest Way,"Forest Way, East of Neridah Avenue",Arterial Road,Warringah,-33.725773,151.219788,1,Excel Lpl
57168,Barrenjoey Road,"Barrenjoey Road, East of Pittwater Road",Arterial Road,Pittwater,-33.677433,151.304688,0,Trafficorder Loop Counter
57173,Newbridge Road,"Newbridge Road, West of Haig Avenue",Arterial Road,Liverpool,-33.926929,150.928101,1,Excel Lpl
57174,South Western Motorway,"South Western Motorway, East of Lakewood Crescent",Motorway,Liverpool,-33.939297,150.921341,0,Trafficorder Loop Counter
57176,Hume Highway,"Hume Highway, North of South Western Motorway",Primary Road,Liverpool,-33.937553,150.913849,0,Trafficorder Loop Counter
57178,Elizabeth Drive,"Elizabeth Drive, South of Reservoir Road",Arterial Road,Liverpool,-33.914284,150.907883,0,Trafficorder Dual Tube Classifier
57182,Copeland Street,"Copeland Street, North of Campbell Street",Local Road,Liverpool,-33.916756,150.919952,0,Trafficorder Loop Counter
57183,Orange Grove Road,"Orange Grove Road, West of Links Avenue",Primary Road,Liverpool,-33.904961,150.917831,0,Trafficorder Loop Counter
57186,Hume Highway,"Hume Highway, North of Kendall Drive",Primary Road,Liverpool,-33.956684,150.891098,1,Excel Ll
57203,Elizabeth Drive,"Elizabeth Drive, East of Airlie Crescent",Arterial Road,Liverpool,-33.88306,150.851425,0,Trafficorder Loop Counter
57224,Elizabeth Drive,"Elizabeth Drive, North of Bonnyrigg Avenue",Arterial Road,Fairfield,-33.889923,150.883972,0,Trafficorder Loop Counter
57234,Woodville Road,"Woodville Road, South of Allowrie Road",Arterial Road,Fairfield,-33.888622,150.97377,1,Excel Lpl
57238,Cambridge Street,"Cambridge Street, South of New Cambridge Street",Primary Road,Fairfield,-33.874428,150.925674,0,Trafficorder Loop Counter
57250,The Horsley Drive,"The Horsley Drive, North of Fairfield Street",Arterial Road,Fairfield,-33.870174,150.96106,0,Trafficorder Loop Counter
57256,Warren Road,"Warren Road, East of Smithfield Road",Local Road,Fairfield,-33.850235,150.944809,0,Trafficorder Loop Counter
57257,Fairfield Street,"Fairfield Street, East of Cockburn Crescent",Distributor Road,Fairfield,-33.869324,150.963486,1,Tirtl
57258,Fairfield Street,"Fairfield Street, East of Cockburn Crescent",Distributor Road,Fairfield,-33.869339,150.96344,1,Excel Lpl
57263,Great Western Highway,"Great Western Highway, East of Emert Street",Primary Road,Holroyd,-33.814598,150.965225,0,Trafficorder Loop Counter
57264,Church Street,"Church Street, South of Meehan Street",Primary Road,Holroyd,-33.826282,151.004715,0,Trafficorder Loop Counter
57267,Great Western Highway,"Great Western Highway, North of Rawson Road",Primary Road,Holroyd,-33.814941,150.966827,1,Excel Lpl
57268,Great Western Highway,"Great Western Highway, East of Liverpool-Parramatta Transitway",Primary Road,Holroyd,-33.816696,150.976623,1,Tirtl
57271,Freame Street,"Freame Street, South of Hart Drive",Primary Road,Holroyd,-33.806152,150.970047,0,Trafficorder Dual Tube Classifier
57277,Gipps Road,"Gipps Road, South of Long Street",Distributor Road,Fairfield,-33.8419532775879,150.926940917969,0,Trafficorder Loop Counter
57289,Old Windsor Road,"Old Windsor Road, West of Hammers Road",Primary Road,Parramatta,-33.790771,150.978729,0,Trafficorder Loop Counter
57290,Prospect Highway,"Prospect Highway, North of The Hills Crescent",Arterial Road,Blacktown,-33.774277,150.935242,0,Trafficorder Loop Counter
57293,Sunnyholt Road,"Sunnyholt Road, South of Devitt Street",Arterial Road,Blacktown,-33.769943,150.912094,0,Trafficorder Dual Tube Classifier
57294,Lancaster Street,"Lancaster Street, North of Bimbil Street",Arterial Road,Blacktown,-33.7658920288086,150.892974853516,0,Trafficorder Loop Counter
57297,Balmoral Street,"Balmoral Street, North of Kildare Road",Distributor Road,Blacktown,-33.767948,150.904663,0,Trafficorder Dual Tube Classifier
57298,Great Western Highway,"Great Western Highway, East of Rudders Lane",Primary Road,Blacktown,-33.791676,150.867493,0,Trafficorder Loop Counter
57300,Great Western Highway,"Great Western Highway, West of Toongabbie Road",Primary Road,Holroyd,-33.806572,150.932541,0,Trafficorder Dual Tube Classifier
57305,Eastern Road,"Eastern Road, East of Westlink M7",Distributor Road,Blacktown,-33.771648,150.857834,0,Trafficorder Loop Counter
57314,Blacktown Road,"Blacktown Road, South of Lancelot Street",Arterial Road,Blacktown,-33.791531,150.919113,0,Trafficorder Loop Counter
57316,Knox Road,"Knox Road, South of Cross Street",Distributor Road,Blacktown,-33.763252,150.863083,1,Excel Lpl
57318,Great Western Highway,"Great Western Highway, East of Hewitt Street",Primary Road,Penrith,-33.776749,150.803101,0,Trafficorder Dual Tube Classifier
57322,Windsor Road,"Windsor Road, North of Merriville Road",Arterial Road,The Hills,-33.699543,150.928497,1,Excel Ll
57324,Wallgrove Road,"Wallgrove Road, South of Roussell Road",Arterial Road,Blacktown,-33.82074,150.851837,0,Trafficorder Loop Counter
57327,Summerland Crescent,"Summerland Crescent, South of Everingham Street",Local Road,Blacktown,-33.726101,150.844681,0,Trafficorder Loop Counter
57328,Francis Road,"Francis Road, North of North Parade",Distributor Road,Blacktown,-33.7716369628906,150.836044311523,0,Trafficorder Loop Counter
57333,Richmond Road,"Richmond Road, East of Symonds Road",Arterial Road,Blacktown,-33.741375,150.866013,0,Trafficorder Loop Counter
57342,Carlisle Avenue,"Carlisle Avenue, North of Beames Avenue",Arterial Road,Blacktown,-33.769043,150.816498,0,Trafficorder Loop Counter
57354,Power Street,"Power Street, East of Owen Street",Distributor Road,Blacktown,-33.754395,150.859238,0,Trafficorder Dual Tube Classifier
57356,Old Windsor Road,"Old Windsor Road, South of Balmoral Road",Arterial Road,The Hills,-33.726486,150.940506,0,Trafficorder Loop Counter
57357,Showground Road,"Showground Road, East of Victoria Avenue",Arterial Road,The Hills,-33.724926,150.977097,1,Tirtl
57358,Cambridge Street,"Cambridge Street, North of Joseph Street",Primary Road,Fairfield,-33.888176,150.922974,1,Tirtl
57359,Pennant Hills Road,"Pennant Hills Road, East of Beecroft Road",Primary Road,Hornsby,-33.740406,151.060989,1,Tirtl
57360,Great Western Highway,"Great Western Highway, East of Reservoir Road",Primary Road,Blacktown,-33.798203,150.897141,1,Tirtl
57361,City-West Link Road,"City-West Link Road, North of Timbrell Drive",Arterial Road,Ashfield,-33.870773,151.142013,1,Tirtl
57362,James Ruse Drive,"James Ruse Drive, North of North Rocks Road",Primary Road,The Hills,-33.791458,151.001419,0,Trafficorder Loop Counter
57365,Castle Hill Road,"Castle Hill Road, East of Old Northern Road",Arterial Road,Hornsby,-33.730938,151.017548,0,Trafficorder Loop Counter
57367,Old Northern Road,"Old Northern Road, West of Ambleside Drive",Arterial Road,The Hills,-33.744923,150.996368,1,Excel Lpl
57368,Windsor Road,"Windsor Road, North of Hambledon Avenue",Arterial Road,The Hills,-33.740467,150.984421,1,Tirtl
57369,Castle Hill Road,"Castle Hill Road, West of Franklin Road",Arterial Road,Hornsby,-33.738117,151.033081,1,Excel Lpl
57373,Windsor Road,"Windsor Road, North of Oakland Avenue",Arterial Road,The Hills,-33.76622,150.997086,0,Trafficorder Loop Counter
57377,Renown Road,"Renown Road, West of Barclay Road",Distributor Road,The Hills,-33.765114,151.009125,0,Trafficorder Loop Counter
57395,Old Northern Road,"Old Northern Road, South of Malabar Road",Arterial Road,Hornsby,-33.699642,151.01561,1,Excel Lpl
57408,Pacific Highway,"Pacific Highway, North of Pennant Hills Road",Primary Road,Hornsby,-33.717724,151.108383,0,Trafficorder Loop Counter
57413,Pennant Hills Road,"Pennant Hills Road, South of Copeland Road",Primary Road,The Hills,-33.755604,151.048203,0,Trafficorder Loop Counter
57419,Epping Road,"Epping Road, West of Crimea Road",Arterial Road,Ryde,-33.770763,151.094559,0,Trafficorder Loop Counter
57423,Junction Road,"Junction Road, East of Edgeworth David Avenue",Arterial Road,Hornsby,-33.708252,151.116745,0,Trafficorder Loop Counter
57425,Pennant Hills Road,"Pennant Hills Road, West of The Crescent",Primary Road,Hornsby,-33.738918,151.072128,0,Trafficorder Loop Counter
57426,Pennant Hills Road,"Pennant Hills Road, East of Loftus Road",Primary Road,Hornsby,-33.740452,151.059372,0,Trafficorder Loop Counter
57429,Junction Road,"Junction Road, West of Pacific Motorway",Arterial Road,Hornsby,-33.708275,151.116898,0,Trafficorder Loop Counter
57430,Pacific Highway,"Pacific Highway, South of Mills Avenue",Primary Road,Hornsby,-33.684055,151.110504,0,Trafficorder Loop Counter
57434,Pennant Hills Road,"Pennant Hills Road, East of Frith Avenue",Primary Road,Hornsby,-33.720676,151.10527,0,Trafficorder Loop Counter
57438,Pennant Hills Road,"Pennant Hills Road, East of Woodstock Road",Primary Road,The Hills,-33.769329,151.049728,0,Trafficorder Loop Counter
57439,New Line Road,"New Line Road, South of Tennyson Close",Distributor Road,Hornsby,-33.723019,151.036606,1,Tirtl
57440,Beecroft Road,"Beecroft Road, North of Old Beecroft Road",Arterial Road,Hornsby,-33.760658,151.07962,1,Excel Lpl
57441,Pennant Hills Road,"Pennant Hills Road, West of Terra Street",Primary Road,Hornsby,-33.724735,151.086151,1,Excel Pp
57443,Wongala Crescent,"Wongala Crescent, North of Sutherland Road",Distributor Road,Hornsby,-33.750919,151.065918,0,Trafficorder Loop Counter
57453,Epping Road,"Epping Road, East of Bridge Street",Arterial Road,Parramatta,-33.773907,151.082626,0,Trafficorder Loop Counter
57456,Pacific Highway,"Pacific Highway, North of Brooklyn Road",Primary Road,Hornsby,-33.541714,151.198547,0,Trafficorder Loop Counter
57457,Pacific Highway,"Pacific Highway, North of Berowra Waters Road",Primary Road,Hornsby,-33.607269,151.160721,0,Trafficorder Loop Counter
57458,Pacific Highway,"Pacific Highway, North of The Gully Road",Primary Road,Hornsby,-33.607098,151.161026,0,Trafficorder Loop Counter
57462,Campbelltown Road,"Campbelltown Road, North of Blaxland Road",Arterial Road,Campbelltown,-34.050945,150.825409,1,Excel Lpl
57476,Hume Motorway,"Hume Motorway, South of Brooks Road",Motorway,Campbelltown,-33.989937,150.8526,0,Trafficorder Loop Counter
57502,Camden Valley Way,"Camden Valley Way, East of Argyle Street",Arterial Road,Camden,-34.054153,150.707245,0,Trafficorder Loop Counter
57503,Camden Valley Way,"Camden Valley Way, West of Heath Road",Arterial Road,Camden,-33.976528,150.808868,0,Trafficorder Loop Counter
57518,Great Western Highway,"Great Western Highway, East of Bridge Street",Primary Road,Penrith,-33.769199,150.761856,0,Trafficorder Dual Tube Classifier
57522,Parker Street,"Parker Street, South of Cox Avenue",Arterial Road,Penrith,-33.756058,150.712326,0,Trafficorder Dual Tube Classifier
57535,Great Western Highway,"Great Western Highway, West of High Street",Arterial Road,Penrith,-33.746132,150.681915,1,Excel Ll
57537,Western Motorway,"Western Motorway, North of Loftus Street",Motorway,Penrith,-33.770508,150.667374,0,Trafficorder Loop Counter
57555,Bridge Street,"Bridge Street, North of Court Street",Arterial Road,Hawkesbury,-33.605782,150.824585,0,Trafficorder Loop Counter
58654,Great Western Highway,"Great Western Highway, East of Steele Street",Primary Road,Parramatta,-33.818405,150.994781,1,Tirtl
58690,The Boulevarde,"The Boulevarde, South of Strathfield Avenue",Local Road,Strathfield,-33.877594,151.093262,1,Tirtl
58847,Great Western Highway,"Great Western Highway, West of Bellevue Road",Primary Road,Blue Mountains,-33.706028,150.527969,0,Trafficorder Loop Counter
58870,Pacific Motorway,"Pacific Motorway, North of Curtin Avenue",Motorway,Ku-Ring-Gai,-33.694206,151.121323,1,Tirtl
58871,Pacific Motorway,"Pacific Motorway, West of Belair Place",Motorway,Hornsby,-33.651676,151.137741,1,Tirtl
58872,Pacific Motorway,"Pacific Motorway, West of Peat Street",Motorway,Hornsby,-33.560299,151.192551,1,Tirtl
58873,Pacific Motorway,"Pacific Motorway, North of Cheero Point Road",Motorway,Gosford,-33.496265,151.187408,1,Tirtl
58874,Pacific Motorway,"Pacific Motorway, West of Peats Ridge Road",Motorway,Gosford,-33.429348,151.22467,1,Tirtl
58884,Pacific Motorway,"Pacific Motorway, East of Pacific Highway",Motorway,Gosford,-33.454262,151.206589,0,Tirtl
58892,Sydney Harbour Bridge,"Sydney Harbour Bridge, North of Hickson Road",Motorway,North Sydney,-33.852295,151.210846,1,Tirtl
58893,Warringah Freeway,"Warringah Freeway, West of Sydney Harbour Tunnel",Motorway,North Sydney,-33.841621,151.210663,1,Tirtl
15154104,Lane Cove Road,"Lane Cove Road, South of Coxs Road",Arterial Road,Ryde,-33.793304,151.119659,1,Tirtl
15252028,Silverwater Road,"Silverwater Road, South of Western Motorway",Arterial Road,Auburn,-33.843338,151.043411,1,Tirtl
15252030,Canterbury Road,"Canterbury Road, East of King Georges Road",Arterial Road,Canterbury,-33.929409,151.072479,1,Tirtl
15252035,Great Western Highway,"Great Western Highway, West of Carlisle Avenue",Primary Road,Blacktown,-33.779202,150.814102,1,Tirtl
15286001,South Dowling Street,"South Dowling Street, South of Eastern Distributor",Arterial Road,Sydney,-33.886032,151.218079,1,Tirtl
15286002,Kingsway,"Kingsway, West of Port Hacking Road",Arterial Road,Sutherland,-34.035271,151.113007,1,Tirtl
15286003,Princes Highway,"Princes Highway, South of The Seven Ways",Primary Road,Rockdale,-33.953056,151.137482,1,Tirtl
15286006,Newbridge Road,"Newbridge Road, West of Henry Lawson Drive",Arterial Road,Bankstown,-33.9294929504395,150.980163574219,1,Tirtl
15286007,Showground Road,"Showground Road, East of Victoria Avenue",Arterial Road,The Hills,-33.724922,150.977127,1,Tirtl
15286008,Olympic Drive,"Olympic Drive, South of Vaughan Street",Arterial Road,Auburn,-33.8651123046875,151.041610717773,1,Tirtl
15286009,Cambridge Street,"Cambridge Street, North of Joseph Street",Primary Road,Fairfield,-33.888157,150.922974,1,Tirtl
15286010,Pennant Hills Road,"Pennant Hills Road, East of Beecroft Road",Primary Road,Hornsby,-33.740406,151.060989,1,Tirtl
15286011,Kingsway,"Kingsway, East of Gannons Road",Arterial Road,Sutherland,-34.045811,151.133041,1,Tirtl
15286012,Victoria Road,"Victoria Road, North of Evans Street",Motorway,Leichhardt,-33.865181,151.171997,1,Tirtl
15286013,Great Western Highway,"Great Western Highway, West of Station Street",Primary Road,Holroyd,-33.81562,150.969238,1,Tirtl
15286014,Great Western Highway,"Great Western Highway, East of Reservoir Road",Primary Road,Blacktown,-33.798195,150.897125,1,Tirtl
15334001,Stacey Street,"Stacey Street, South of Hume Highway",Arterial Road,Bankstown,-33.906151,151.040207,1,Tirtl
15334002,City-West Link Road,"City-West Link Road, East of James Street",Arterial Road,Leichhardt,-33.874916,151.155319,1,Tirtl
15334003,Edgar Street,"Edgar Street, North of Marion Street",Distributor Road,Bankstown,-33.916008,151.014008,1,Tirtl
15334004,Georges River Road,"Georges River Road, West of Croydon Avenue",Arterial Road,Burwood,-33.894714,151.110962,1,Tirtl
15334006,Pittwater Road,"Pittwater Road, South of Devitt Street",Arterial Road,Warringah,-33.719955,151.298111,1,Tirtl
15334014,Galston Road,"Galston Road, West of Montview Parade",Arterial Road,Hornsby,-33.665455,151.090271,1,Tirtl
15334016,Victoria Road,"Victoria Road, West of Burns Bay Road",Arterial Road,Hunters Hill,-33.838615,151.143753,1,Tirtl
15334029,Galston Road,"Galston Road, West of Calderwood Road",Arterial Road,Hornsby,-33.654926,151.060974,1,Tirtl
