feature,mean,max,nonzero_pct
crash_count,1.4310060146267487,15,0.5912013811071823
crash_severity_sum,2.460562421055549,29,0.5912013811071823
crash_injury_sum,1.1731194887369283,25,0.48732335251097797
crash_fatal_count,0.01075426349529402,2,0.010599839240391049
crash_wet_count,0.24010397899830133,5,0.1894686617752454
