feature,mean,max,nonzero_pct
crash_count,0.5608323732707503,10,0.3621597314751426
crash_severity_sum,0.968250107475595,17,0.3621597314751426
crash_injury_sum,0.4748732539417935,13,0.27871121040656427
crash_fatal_count,0.003847764725145255,2,0.0037971414457929485
crash_wet_count,0.06510114175269657,4,0.05849599028033037
